Year,Sector,Price,Volume,Region,text
2011,AL1 1,393000,112,South East,AL1 1<br>Avg. Price: 393K<br>Sales Volume: 112
2011,AL1 2,318000,73,South East,AL1 2<br>Avg. Price: 318K<br>Sales Volume: 73
2011,AL1 3,285000,235,South East,AL1 3<br>Avg. Price: 285K<br>Sales Volume: 235
2011,AL1 4,522000,171,South East,AL1 4<br>Avg. Price: 522K<br>Sales Volume: 171
2011,AL1 5,282000,190,South East,AL1 5<br>Avg. Price: 282K<br>Sales Volume: 190
2011,AL10 0,187000,75,South East,AL10 0<br>Avg. Price: 187K<br>Sales Volume: 75
2011,AL10 8,191000,82,South East,AL10 8<br>Avg. Price: 191K<br>Sales Volume: 82
2011,AL10 9,233000,195,South East,AL10 9<br>Avg. Price: 233K<br>Sales Volume: 195
2011,AL2 1,271000,110,South East,AL2 1<br>Avg. Price: 271K<br>Sales Volume: 110
2011,AL2 2,351000,70,South East,AL2 2<br>Avg. Price: 351K<br>Sales Volume: 70
2011,AL2 3,400000,83,South East,AL2 3<br>Avg. Price: 400K<br>Sales Volume: 83
2011,AL3 4,491000,101,South East,AL3 4<br>Avg. Price: 491K<br>Sales Volume: 101
2011,AL3 5,433000,150,South East,AL3 5<br>Avg. Price: 433K<br>Sales Volume: 150
2011,AL3 6,441000,51,South East,AL3 6<br>Avg. Price: 441K<br>Sales Volume: 51
2011,AL3 7,366000,92,South East,AL3 7<br>Avg. Price: 366K<br>Sales Volume: 92
2011,AL3 8,294000,57,South East,AL3 8<br>Avg. Price: 294K<br>Sales Volume: 57
2011,AL4 0,396000,134,South East,AL4 0<br>Avg. Price: 396K<br>Sales Volume: 134
2011,AL4 8,473000,110,South East,AL4 8<br>Avg. Price: 473K<br>Sales Volume: 110
2011,AL4 9,324000,158,South East,AL4 9<br>Avg. Price: 324K<br>Sales Volume: 158
2011,AL5 1,452000,105,South East,AL5 1<br>Avg. Price: 452K<br>Sales Volume: 105
2011,AL5 2,1036000,68,South East,"AL5 2<br>Avg. Price: 1,036K<br>Sales Volume: 68"
2011,AL5 3,565000,69,South East,AL5 3<br>Avg. Price: 565K<br>Sales Volume: 69
2011,AL5 4,546000,119,South East,AL5 4<br>Avg. Price: 546K<br>Sales Volume: 119
2011,AL5 5,476000,131,South East,AL5 5<br>Avg. Price: 476K<br>Sales Volume: 131
2011,AL6 0,586000,96,South East,AL6 0<br>Avg. Price: 586K<br>Sales Volume: 96
2011,AL6 9,468000,86,South East,AL6 9<br>Avg. Price: 468K<br>Sales Volume: 86
2011,AL7 1,236000,56,South East,AL7 1<br>Avg. Price: 236K<br>Sales Volume: 56
2011,AL7 2,217000,101,South East,AL7 2<br>Avg. Price: 217K<br>Sales Volume: 101
2011,AL7 3,208000,90,South East,AL7 3<br>Avg. Price: 208K<br>Sales Volume: 90
2011,AL7 4,220000,126,South East,AL7 4<br>Avg. Price: 220K<br>Sales Volume: 126
2011,AL8 6,345000,69,South East,AL8 6<br>Avg. Price: 345K<br>Sales Volume: 69
2011,AL8 7,378000,74,South East,AL8 7<br>Avg. Price: 378K<br>Sales Volume: 74
2011,AL9 5,308000,28,South East,AL9 5<br>Avg. Price: 308K<br>Sales Volume: 28
2011,AL9 6,676000,15,South East,AL9 6<br>Avg. Price: 676K<br>Sales Volume: 15
2011,AL9 7,451000,98,South East,AL9 7<br>Avg. Price: 451K<br>Sales Volume: 98
2011,B1 1,142000,130,Midlands,B1 1<br>Avg. Price: 142K<br>Sales Volume: 130
