Sector,Percentage Change,Region
AL1 1,15,South East
AL1 2,25,South East
AL1 3,18,South East
AL1 4,26,South East
AL1 5,14,South East
AL10 0,4,South East
AL10 8,12,South East
AL10 9,3,South East
AL2 1,9,South East
AL2 2,9,South East
AL2 3,20,South East
AL3 4,24,South East
AL3 5,4,South East
AL3 6,-4,South East
AL3 7,9,South East
AL3 8,8,South East
AL4 0,14,South East
AL4 8,17,South East
AL4 9,17,South East
AL5 1,16,South East
AL5 2,-5,South East
AL5 3,-4,South East
AL5 4,26,South East
AL5 5,16,South East
AL6 0,36,South East
AL6 9,30,South East
AL7 1,16,South East
AL7 2,2,South East
AL7 3,12,South East
AL7 4,13,South East
AL8 6,8,South East
AL8 7,8,South East
AL9 5,-7,South East
AL9 6,34,South East
AL9 7,4,South East
B1 1,7,Midlands
B1 2,-6,Midlands
B1 3,-27,Midlands
B10 0,-14,Midlands
B10 9,-6,Midlands
B11 1,-16,Midlands
B11 2,5,Midlands
B11 3,7,Midlands
B11 4,-1,Midlands
B12 0,-15,Midlands
B12 8,5,Midlands
B12 9,24,Midlands
B13 0,1,Midlands
B13 8,19,Midlands
B13 9,14,Midlands
B14 4,9,Midlands
B14 5,-4,Midlands
B14 6,-3,Midlands
B14 7,6,Midlands
B15 1,-19,Midlands
B15 2,28,Midlands
B15 3,2,Midlands
B16 0,5,Midlands
B16 8,-1,Midlands
B16 9,-9,Midlands
B17 0,10,Midlands
B17 8,25,Midlands
B17 9,13,Midlands
B18 4,-5,Midlands
B18 5,20,Midlands
B18 6,24,Midlands
B18 7,-5,Midlands
B19 1,13,Midlands
B19 2,12,Midlands
B19 3,-44,Midlands
B20 1,9,Midlands
B20 2,-9,Midlands
B20 3,4,Midlands
B21 0,-6,Midlands
B21 8,5,Midlands
B21 9,12,Midlands
B23 5,11,Midlands
B23 6,-16,Midlands
B23 7,14,Midlands
B24 0,3,Midlands
B24 8,-2,Midlands
B24 9,1,Midlands
B25 8,6,Midlands
B26 1,10,Midlands
B26 2,13,Midlands
B26 3,2,Midlands
B27 6,2,Midlands
B27 7,3,Midlands
B28 0,5,Midlands
B28 8,-6,Midlands
B28 9,11,Midlands
B29 4,1,Midlands
B29 5,-7,Midlands
B29 6,14,Midlands
B29 7,6,Midlands
B3 1,-1,Midlands
B30 1,3,Midlands
B30 2,4,Midlands
B30 3,-4,Midlands
B31 1,2,Midlands
B31 2,8,Midlands
B31 3,2,Midlands
B31 4,1,Midlands
B31 5,-2,Midlands
B32 1,3,Midlands
B32 2,-3,Midlands
B32 3,2,Midlands
B32 4,-3,Midlands
B33 0,9,Midlands
B33 8,-3,Midlands
B33 9,4,Midlands
B34 6,2,Midlands
B34 7,-1,Midlands
B35 6,19,Midlands
B35 7,-8,Midlands
B36 0,11,Midlands
B36 8,16,Midlands
B36 9,1,Midlands
B37 5,-22,Midlands
B37 6,-2,Midlands
B37 7,23,Midlands
B38 0,23,Midlands
B38 8,12,Midlands
B38 9,26,Midlands
B4 6,-5,Midlands
B42 1,5,Midlands
B42 2,1,Midlands
B43 5,8,Midlands
B43 6,9,Midlands
B43 7,-2,Midlands
B44 0,-1,Midlands
B44 8,13,Midlands
B44 9,2,Midlands
B45 0,-3,Midlands
B45 8,-2,Midlands
B45 9,9,Midlands
B46 1,8,Midlands
B46 2,3,Midlands
B46 3,4,Midlands
B47 5,7,Midlands
B47 6,9,Midlands
B48 7,5,Midlands
B49 5,6,Midlands
B49 6,9,Midlands
B5 4,-11,Midlands
B5 6,-7,Midlands
B5 7,0,Midlands
B50 4,2,Midlands
B6 4,70,Midlands
B6 5,-21,Midlands
B6 6,5,Midlands
B6 7,36,Midlands
B60 1,7,Midlands
B60 2,8,Midlands
B60 3,19,Midlands
B60 4,-16,Midlands
B61 0,10,Midlands
B61 7,8,Midlands
B61 8,11,Midlands
B61 9,13,Midlands
B62 0,12,Midlands
B62 8,2,Midlands
B62 9,4,Midlands
B63 1,12,Midlands
B63 2,2,Midlands
B63 3,12,Midlands
B63 4,6,Midlands
B64 5,14,Midlands
