URN,ATT8SCR,TALLPPE_ALEV_1618,PCODE,Best Rank,Latitude,Longitude,Info,Region
123620,67.1,42.91,SY1 1TN,151,52.70558314,-2.75719839,"Shrewsbury High School<br>3-19 Mixed Independent school <br>GCSE: A8S 67.1, #151<br>A-level: APS 42.91, #181",Wales
123604,61.9,41.62,SY11 3EW,231,52.91402238,-3.04863648,"Moreton Hall School<br>1-18 Mixed Independent school <br>GCSE: A8S 61.9, #236<br>A-level: APS 41.62, #231",Wales
123623,30.5,51.55,SY5 7PF,8,52.61425339,-2.68673712,"Concord College<br>12-20 Mixed Independent school <br>GCSE: A8S 30.5, #3,626<br>A-level: APS 51.55, #8",Wales
123608,9.5,41.78,SY3 7BA,224,52.70392225,-2.7624679,"Shrewsbury School<br>12-18 Mixed Independent school <br>GCSE: A8S 9.5, #3,997<br>A-level: APS 41.78, #224",Wales
123602,38.8,38.21,SY4 2JY,428,52.76899124,-2.86335522,"Adcote School for Girls<br>4-18 Girls Independent school <br>GCSE: A8S 38.8, #3,094<br>A-level: APS 38.21, #428",Wales
