Sector,Percentage Change,Region,text
AL1 1,1,South East,AL1 1<br>Price Change: 1%
AL1 2,3,South East,AL1 2<br>Price Change: 3%
AL1 3,15,South East,AL1 3<br>Price Change: 15%
AL1 4,-15,South East,AL1 4<br>Price Change: -15%
AL1 5,-8,South East,AL1 5<br>Price Change: -8%
AL10 0,2,South East,AL10 0<br>Price Change: 2%
AL10 8,10,South East,AL10 8<br>Price Change: 10%
AL10 9,3,South East,AL10 9<br>Price Change: 3%
AL2 1,-5,South East,AL2 1<br>Price Change: -5%
AL2 2,-12,South East,AL2 2<br>Price Change: -12%
AL2 3,-8,South East,AL2 3<br>Price Change: -8%
AL3 4,-6,South East,AL3 4<br>Price Change: -6%
AL3 5,-8,South East,AL3 5<br>Price Change: -8%
AL3 6,-9,South East,AL3 6<br>Price Change: -9%
AL3 7,35,South East,AL3 7<br>Price Change: 35%
AL3 8,13,South East,AL3 8<br>Price Change: 13%
AL4 0,2,South East,AL4 0<br>Price Change: 2%
AL4 8,2,South East,AL4 8<br>Price Change: 2%
AL4 9,6,South East,AL4 9<br>Price Change: 6%
AL5 1,-5,South East,AL5 1<br>Price Change: -5%
AL5 2,15,South East,AL5 2<br>Price Change: 15%
AL5 3,1,South East,AL5 3<br>Price Change: 1%
AL5 4,-2,South East,AL5 4<br>Price Change: -2%
AL5 5,2,South East,AL5 5<br>Price Change: 2%
AL6 0,12,South East,AL6 0<br>Price Change: 12%
AL6 9,22,South East,AL6 9<br>Price Change: 22%
AL7 1,-13,South East,AL7 1<br>Price Change: -13%
AL7 2,3,South East,AL7 2<br>Price Change: 3%
AL7 3,3,South East,AL7 3<br>Price Change: 3%
AL7 4,0,South East,AL7 4<br>Price Change: 0%
AL8 6,-5,South East,AL8 6<br>Price Change: -5%
AL8 7,12,South East,AL8 7<br>Price Change: 12%
AL9 5,-15,South East,AL9 5<br>Price Change: -15%
AL9 6,22,South East,AL9 6<br>Price Change: 22%
AL9 7,4,South East,AL9 7<br>Price Change: 4%
B1 1,-19,Midlands,B1 1<br>Price Change: -19%
B1 2,12,Midlands,B1 2<br>Price Change: 12%
B1 3,-5,Midlands,B1 3<br>Price Change: -5%
B10 0,-10,Midlands,B10 0<br>Price Change: -10%
B10 9,0,Midlands,B10 9<br>Price Change: 0%
B11 1,-1,Midlands,B11 1<br>Price Change: -1%
B11 2,6,Midlands,B11 2<br>Price Change: 6%
B11 3,-4,Midlands,B11 3<br>Price Change: -4%
B11 4,2,Midlands,B11 4<br>Price Change: 2%
B12 0,-15,Midlands,B12 0<br>Price Change: -15%
B12 8,15,Midlands,B12 8<br>Price Change: 15%
B12 9,0,Midlands,B12 9<br>Price Change: 0%
B13 0,-10,Midlands,B13 0<br>Price Change: -10%
B13 8,17,Midlands,B13 8<br>Price Change: 17%
B13 9,-1,Midlands,B13 9<br>Price Change: -1%
B14 4,-4,Midlands,B14 4<br>Price Change: -4%
B14 5,-4,Midlands,B14 5<br>Price Change: -4%
B14 6,-3,Midlands,B14 6<br>Price Change: -3%
B14 7,-6,Midlands,B14 7<br>Price Change: -6%
B15 1,-1,Midlands,B15 1<br>Price Change: -1%
B15 2,11,Midlands,B15 2<br>Price Change: 11%
B15 3,11,Midlands,B15 3<br>Price Change: 11%
B16 0,11,Midlands,B16 0<br>Price Change: 11%
B16 8,-21,Midlands,B16 8<br>Price Change: -21%
B16 9,-22,Midlands,B16 9<br>Price Change: -22%
B17 0,-4,Midlands,B17 0<br>Price Change: -4%
B17 8,10,Midlands,B17 8<br>Price Change: 10%
B17 9,-2,Midlands,B17 9<br>Price Change: -2%
B18 4,8,Midlands,B18 4<br>Price Change: 8%
B18 5,5,Midlands,B18 5<br>Price Change: 5%
B18 6,-16,Midlands,B18 6<br>Price Change: -16%
B18 7,-6,Midlands,B18 7<br>Price Change: -6%
B19 1,-2,Midlands,B19 1<br>Price Change: -2%
B19 2,-3,Midlands,B19 2<br>Price Change: -3%
B19 3,91,Midlands,B19 3<br>Price Change: 91%
B2 4,12,Midlands,B2 4<br>Price Change: 12%
B2 5,-4,Midlands,B2 5<br>Price Change: -4%
B20 1,2,Midlands,B20 1<br>Price Change: 2%
B20 2,-4,Midlands,B20 2<br>Price Change: -4%
B20 3,5,Midlands,B20 3<br>Price Change: 5%
B21 0,9,Midlands,B21 0<br>Price Change: 9%
B21 8,12,Midlands,B21 8<br>Price Change: 12%
B21 9,-13,Midlands,B21 9<br>Price Change: -13%
B23 5,-4,Midlands,B23 5<br>Price Change: -4%
B23 6,-4,Midlands,B23 6<br>Price Change: -4%
B23 7,-6,Midlands,B23 7<br>Price Change: -6%
B24 0,1,Midlands,B24 0<br>Price Change: 1%
B24 8,10,Midlands,B24 8<br>Price Change: 10%
B24 9,-10,Midlands,B24 9<br>Price Change: -10%
B25 8,-6,Midlands,B25 8<br>Price Change: -6%
