Sector,Percentage Change,Region
AL1 1,14,South East
AL1 2,30,South East
AL1 3,14,South East
AL1 4,19,South East
AL1 5,19,South East
AL10 0,20,South East
AL10 8,20,South East
AL10 9,10,South East
AL2 1,3,South East
AL2 2,14,South East
AL2 3,22,South East
AL3 4,29,South East
AL3 5,20,South East
AL3 6,36,South East
AL3 7,8,South East
AL3 8,14,South East
AL4 0,25,South East
AL4 8,5,South East
AL4 9,36,South East
AL5 1,7,South East
AL5 2,-2,South East
AL5 3,12,South East
AL5 4,2,South East
AL5 5,10,South East
AL6 0,23,South East
AL6 9,3,South East
AL7 1,18,South East
AL7 2,15,South East
AL7 3,13,South East
AL7 4,16,South East
AL8 6,19,South East
AL8 7,12,South East
AL9 5,-4,South East
AL9 6,56,South East
AL9 7,9,South East
B1 1,-45,Midlands
B1 2,148,Midlands
B1 3,-21,Midlands
B10 0,9,Midlands
B10 9,11,Midlands
B11 1,7,Midlands
B11 2,3,Midlands
B11 3,6,Midlands
B11 4,17,Midlands
B12 0,-6,Midlands
B12 8,3,Midlands
B12 9,5,Midlands
B13 0,2,Midlands
B13 8,16,Midlands
B13 9,12,Midlands
B14 4,7,Midlands
B14 5,12,Midlands
B14 6,2,Midlands
B14 7,4,Midlands
B15 1,33,Midlands
B15 2,48,Midlands
B15 3,19,Midlands
B16 0,24,Midlands
B16 8,-9,Midlands
B16 9,4,Midlands
B17 0,27,Midlands
B17 8,5,Midlands
B17 9,10,Midlands
B18 4,-4,Midlands
B18 5,3,Midlands
B18 6,-42,Midlands
B18 7,0,Midlands
B19 1,7,Midlands
B19 2,-2,Midlands
B19 3,-21,Midlands
B20 1,13,Midlands
B20 2,14,Midlands
B20 3,3,Midlands
B21 0,8,Midlands
B21 8,6,Midlands
B21 9,3,Midlands
B23 5,11,Midlands
B23 6,5,Midlands
B23 7,0,Midlands
B24 0,0,Midlands
B24 8,9,Midlands
B24 9,0,Midlands
B25 8,7,Midlands
B26 1,6,Midlands
B26 2,2,Midlands
B26 3,6,Midlands
B27 6,6,Midlands
B27 7,2,Midlands
B28 0,4,Midlands
B28 8,2,Midlands
B28 9,7,Midlands
B29 4,15,Midlands
B29 5,2,Midlands
B29 6,15,Midlands
B29 7,14,Midlands
B3 1,-8,Midlands
B30 1,6,Midlands
B30 2,11,Midlands
B30 3,9,Midlands
