Sector,Percentage Change,Region,text
AL1 1,10,South East,AL1 1<br>Price Change: 10%
AL1 2,6,South East,AL1 2<br>Price Change: 6%
AL1 3,21,South East,AL1 3<br>Price Change: 21%
AL1 4,12,South East,AL1 4<br>Price Change: 12%
AL1 5,11,South East,AL1 5<br>Price Change: 11%
AL10 0,16,South East,AL10 0<br>Price Change: 16%
AL10 8,17,South East,AL10 8<br>Price Change: 17%
AL10 9,9,South East,AL10 9<br>Price Change: 9%
AL2 1,16,South East,AL2 1<br>Price Change: 16%
AL2 2,12,South East,AL2 2<br>Price Change: 12%
AL2 3,8,South East,AL2 3<br>Price Change: 8%
AL3 4,17,South East,AL3 4<br>Price Change: 17%
AL3 5,15,South East,AL3 5<br>Price Change: 15%
AL3 6,16,South East,AL3 6<br>Price Change: 16%
AL3 7,11,South East,AL3 7<br>Price Change: 11%
AL3 8,5,South East,AL3 8<br>Price Change: 5%
AL4 0,13,South East,AL4 0<br>Price Change: 13%
AL4 8,29,South East,AL4 8<br>Price Change: 29%
AL4 9,2,South East,AL4 9<br>Price Change: 2%
AL5 1,14,South East,AL5 1<br>Price Change: 14%
AL5 2,23,South East,AL5 2<br>Price Change: 23%
AL5 3,15,South East,AL5 3<br>Price Change: 15%
AL5 4,25,South East,AL5 4<br>Price Change: 25%
AL5 5,12,South East,AL5 5<br>Price Change: 12%
AL6 0,9,South East,AL6 0<br>Price Change: 9%
AL6 9,3,South East,AL6 9<br>Price Change: 3%
AL7 1,-12,South East,AL7 1<br>Price Change: -12%
AL7 2,15,South East,AL7 2<br>Price Change: 15%
AL7 3,9,South East,AL7 3<br>Price Change: 9%
AL7 4,3,South East,AL7 4<br>Price Change: 3%
AL8 6,7,South East,AL8 6<br>Price Change: 7%
AL8 7,17,South East,AL8 7<br>Price Change: 17%
AL9 5,-9,South East,AL9 5<br>Price Change: -9%
AL9 6,0,South East,AL9 6<br>Price Change: 0%
AL9 7,20,South East,AL9 7<br>Price Change: 20%
B1 1,538,Midlands,B1 1<br>Price Change: 538%
B1 2,-12,Midlands,B1 2<br>Price Change: -12%
B1 3,-2,Midlands,B1 3<br>Price Change: -2%
B10 0,-8,Midlands,B10 0<br>Price Change: -8%
B10 9,0,Midlands,B10 9<br>Price Change: 0%
B11 1,12,Midlands,B11 1<br>Price Change: 12%
B11 2,6,Midlands,B11 2<br>Price Change: 6%
B11 3,8,Midlands,B11 3<br>Price Change: 8%
B11 4,-2,Midlands,B11 4<br>Price Change: -2%
B12 0,122,Midlands,B12 0<br>Price Change: 122%
B12 8,12,Midlands,B12 8<br>Price Change: 12%
B12 9,9,Midlands,B12 9<br>Price Change: 9%
B13 0,8,Midlands,B13 0<br>Price Change: 8%
B13 8,40,Midlands,B13 8<br>Price Change: 40%
B13 9,3,Midlands,B13 9<br>Price Change: 3%
B14 4,10,Midlands,B14 4<br>Price Change: 10%
B14 5,6,Midlands,B14 5<br>Price Change: 6%
B14 6,10,Midlands,B14 6<br>Price Change: 10%
B14 7,17,Midlands,B14 7<br>Price Change: 17%
B15 1,-54,Midlands,B15 1<br>Price Change: -54%
B15 2,-19,Midlands,B15 2<br>Price Change: -19%
B15 3,21,Midlands,B15 3<br>Price Change: 21%
B16 0,13,Midlands,B16 0<br>Price Change: 13%
B16 8,30,Midlands,B16 8<br>Price Change: 30%
B16 9,-3,Midlands,B16 9<br>Price Change: -3%
B17 0,13,Midlands,B17 0<br>Price Change: 13%
