Year,Sector,Price,Volume,Region,text
2002,AL1 1,226000,240,South East,AL1 1<br>Avg. Price: 226K<br>Sales Volume: 240
2002,AL1 2,231000,189,South East,AL1 2<br>Avg. Price: 231K<br>Sales Volume: 189
2002,AL1 3,208000,141,South East,AL1 3<br>Avg. Price: 208K<br>Sales Volume: 141
2002,AL1 4,312000,230,South East,AL1 4<br>Avg. Price: 312K<br>Sales Volume: 230
2002,AL1 5,196000,262,South East,AL1 5<br>Avg. Price: 196K<br>Sales Volume: 262
2002,AL10 0,121000,198,South East,AL10 0<br>Avg. Price: 121K<br>Sales Volume: 198
2002,AL10 8,132000,188,South East,AL10 8<br>Avg. Price: 132K<br>Sales Volume: 188
2002,AL10 9,190000,258,South East,AL10 9<br>Avg. Price: 190K<br>Sales Volume: 258
2002,AL2 1,164000,215,South East,AL2 1<br>Avg. Price: 164K<br>Sales Volume: 215
2002,AL2 2,231000,141,South East,AL2 2<br>Avg. Price: 231K<br>Sales Volume: 141
2002,AL2 3,272000,160,South East,AL2 3<br>Avg. Price: 272K<br>Sales Volume: 160
2002,AL3 4,313000,142,South East,AL3 4<br>Avg. Price: 313K<br>Sales Volume: 142
2002,AL3 5,262000,234,South East,AL3 5<br>Avg. Price: 262K<br>Sales Volume: 234
2002,AL3 6,369000,104,South East,AL3 6<br>Avg. Price: 369K<br>Sales Volume: 104
2002,AL3 7,233000,147,South East,AL3 7<br>Avg. Price: 233K<br>Sales Volume: 147
2002,AL3 8,189000,133,South East,AL3 8<br>Avg. Price: 189K<br>Sales Volume: 133
2002,AL4 0,249000,268,South East,AL4 0<br>Avg. Price: 249K<br>Sales Volume: 268
2002,AL4 8,298000,155,South East,AL4 8<br>Avg. Price: 298K<br>Sales Volume: 155
2002,AL4 9,196000,271,South East,AL4 9<br>Avg. Price: 196K<br>Sales Volume: 271
2002,AL5 1,260000,150,South East,AL5 1<br>Avg. Price: 260K<br>Sales Volume: 150
2002,AL5 2,604000,86,South East,AL5 2<br>Avg. Price: 604K<br>Sales Volume: 86
2002,AL5 3,331000,108,South East,AL5 3<br>Avg. Price: 331K<br>Sales Volume: 108
2002,AL5 4,293000,190,South East,AL5 4<br>Avg. Price: 293K<br>Sales Volume: 190
2002,AL5 5,253000,184,South East,AL5 5<br>Avg. Price: 253K<br>Sales Volume: 184
2002,AL6 0,353000,164,South East,AL6 0<br>Avg. Price: 353K<br>Sales Volume: 164
2002,AL6 9,278000,96,South East,AL6 9<br>Avg. Price: 278K<br>Sales Volume: 96
2002,AL7 1,137000,106,South East,AL7 1<br>Avg. Price: 137K<br>Sales Volume: 106
2002,AL7 2,143000,202,South East,AL7 2<br>Avg. Price: 143K<br>Sales Volume: 202
2002,AL7 3,135000,162,South East,AL7 3<br>Avg. Price: 135K<br>Sales Volume: 162
2002,AL7 4,160000,136,South East,AL7 4<br>Avg. Price: 160K<br>Sales Volume: 136
2002,AL8 6,211000,124,South East,AL8 6<br>Avg. Price: 211K<br>Sales Volume: 124
2002,AL8 7,239000,142,South East,AL8 7<br>Avg. Price: 239K<br>Sales Volume: 142
2002,AL9 5,197000,44,South East,AL9 5<br>Avg. Price: 197K<br>Sales Volume: 44
2002,AL9 6,717000,15,South East,AL9 6<br>Avg. Price: 717K<br>Sales Volume: 15
2002,AL9 7,261000,165,South East,AL9 7<br>Avg. Price: 261K<br>Sales Volume: 165
2002,B1 1,166000,72,Midlands,B1 1<br>Avg. Price: 166K<br>Sales Volume: 72
2002,B1 2,156000,114,Midlands,B1 2<br>Avg. Price: 156K<br>Sales Volume: 114
2002,B1 3,141000,78,Midlands,B1 3<br>Avg. Price: 141K<br>Sales Volume: 78
2002,B10 0,63000,116,Midlands,B10 0<br>Avg. Price: 63K<br>Sales Volume: 116
2002,B10 9,72000,212,Midlands,B10 9<br>Avg. Price: 72K<br>Sales Volume: 212
2002,B11 1,58000,97,Midlands,B11 1<br>Avg. Price: 58K<br>Sales Volume: 97
2002,B11 2,62000,97,Midlands,B11 2<br>Avg. Price: 62K<br>Sales Volume: 97
2002,B11 3,69000,319,Midlands,B11 3<br>Avg. Price: 69K<br>Sales Volume: 319
2002,B11 4,90000,148,Midlands,B11 4<br>Avg. Price: 90K<br>Sales Volume: 148
2002,B12 0,59000,23,Midlands,B12 0<br>Avg. Price: 59K<br>Sales Volume: 23
2002,B12 8,64000,102,Midlands,B12 8<br>Avg. Price: 64K<br>Sales Volume: 102
2002,B12 9,81000,73,Midlands,B12 9<br>Avg. Price: 81K<br>Sales Volume: 73
2002,B13 0,106000,280,Midlands,B13 0<br>Avg. Price: 106K<br>Sales Volume: 280
2002,B13 8,178000,168,Midlands,B13 8<br>Avg. Price: 178K<br>Sales Volume: 168
2002,B13 9,140000,298,Midlands,B13 9<br>Avg. Price: 140K<br>Sales Volume: 298
2002,B14 4,81000,260,Midlands,B14 4<br>Avg. Price: 81K<br>Sales Volume: 260
2002,B14 5,80000,154,Midlands,B14 5<br>Avg. Price: 80K<br>Sales Volume: 154
2002,B14 6,106000,225,Midlands,B14 6<br>Avg. Price: 106K<br>Sales Volume: 225
2002,B14 7,110000,243,Midlands,B14 7<br>Avg. Price: 110K<br>Sales Volume: 243
2002,B15 1,231000,44,Midlands,B15 1<br>Avg. Price: 231K<br>Sales Volume: 44
2002,B15 2,198000,68,Midlands,B15 2<br>Avg. Price: 198K<br>Sales Volume: 68
2002,B15 3,206000,129,Midlands,B15 3<br>Avg. Price: 206K<br>Sales Volume: 129
2002,B16 0,82000,142,Midlands,B16 0<br>Avg. Price: 82K<br>Sales Volume: 142
2002,B16 8,179000,235,Midlands,B16 8<br>Avg. Price: 179K<br>Sales Volume: 235
2002,B16 9,122000,172,Midlands,B16 9<br>Avg. Price: 122K<br>Sales Volume: 172
2002,B17 0,128000,223,Midlands,B17 0<br>Avg. Price: 128K<br>Sales Volume: 223
2002,B17 8,161000,166,Midlands,B17 8<br>Avg. Price: 161K<br>Sales Volume: 166
2002,B17 9,179000,237,Midlands,B17 9<br>Avg. Price: 179K<br>Sales Volume: 237
2002,B18 4,40000,136,Midlands,B18 4<br>Avg. Price: 40K<br>Sales Volume: 136
2002,B18 5,69000,112,Midlands,B18 5<br>Avg. Price: 69K<br>Sales Volume: 112
2002,B18 6,173000,136,Midlands,B18 6<br>Avg. Price: 173K<br>Sales Volume: 136
2002,B18 7,48000,34,Midlands,B18 7<br>Avg. Price: 48K<br>Sales Volume: 34
2002,B19 1,52000,60,Midlands,B19 1<br>Avg. Price: 52K<br>Sales Volume: 60
2002,B19 2,45000,53,Midlands,B19 2<br>Avg. Price: 45K<br>Sales Volume: 53
2002,B19 3,40000,11,Midlands,B19 3<br>Avg. Price: 40K<br>Sales Volume: 11
2002,B2 5,129000,4,Midlands,B2 5<br>Avg. Price: 129K<br>Sales Volume: 4
