Year,Sector,Price,Volume,Region,text
2008,AL1 1,359000,121,South East,AL1 1<br>Avg. Price: 359K<br>Sales Volume: 121
2008,AL1 2,309000,79,South East,AL1 2<br>Avg. Price: 309K<br>Sales Volume: 79
2008,AL1 3,331000,78,South East,AL1 3<br>Avg. Price: 331K<br>Sales Volume: 78
2008,AL1 4,429000,124,South East,AL1 4<br>Avg. Price: 429K<br>Sales Volume: 124
2008,AL1 5,276000,124,South East,AL1 5<br>Avg. Price: 276K<br>Sales Volume: 124
2008,AL10 0,184000,71,South East,AL10 0<br>Avg. Price: 184K<br>Sales Volume: 71
2008,AL10 8,195000,83,South East,AL10 8<br>Avg. Price: 195K<br>Sales Volume: 83
2008,AL10 9,233000,156,South East,AL10 9<br>Avg. Price: 233K<br>Sales Volume: 156
2008,AL2 1,244000,87,South East,AL2 1<br>Avg. Price: 244K<br>Sales Volume: 87
2008,AL2 2,307000,56,South East,AL2 2<br>Avg. Price: 307K<br>Sales Volume: 56
2008,AL2 3,339000,92,South East,AL2 3<br>Avg. Price: 339K<br>Sales Volume: 92
2008,AL3 4,445000,68,South East,AL3 4<br>Avg. Price: 445K<br>Sales Volume: 68
2008,AL3 5,367000,109,South East,AL3 5<br>Avg. Price: 367K<br>Sales Volume: 109
2008,AL3 6,343000,30,South East,AL3 6<br>Avg. Price: 343K<br>Sales Volume: 30
2008,AL3 7,465000,77,South East,AL3 7<br>Avg. Price: 465K<br>Sales Volume: 77
2008,AL3 8,311000,54,South East,AL3 8<br>Avg. Price: 311K<br>Sales Volume: 54
2008,AL4 0,351000,85,South East,AL4 0<br>Avg. Price: 351K<br>Sales Volume: 85
2008,AL4 8,439000,59,South East,AL4 8<br>Avg. Price: 439K<br>Sales Volume: 59
2008,AL4 9,304000,127,South East,AL4 9<br>Avg. Price: 304K<br>Sales Volume: 127
2008,AL5 1,414000,75,South East,AL5 1<br>Avg. Price: 414K<br>Sales Volume: 75
2008,AL5 2,933000,49,South East,AL5 2<br>Avg. Price: 933K<br>Sales Volume: 49
2008,AL5 3,545000,65,South East,AL5 3<br>Avg. Price: 545K<br>Sales Volume: 65
2008,AL5 4,419000,128,South East,AL5 4<br>Avg. Price: 419K<br>Sales Volume: 128
2008,AL5 5,437000,98,South East,AL5 5<br>Avg. Price: 437K<br>Sales Volume: 98
2008,AL6 0,588000,50,South East,AL6 0<br>Avg. Price: 588K<br>Sales Volume: 50
2008,AL6 9,517000,39,South East,AL6 9<br>Avg. Price: 517K<br>Sales Volume: 39
2008,AL7 1,208000,53,South East,AL7 1<br>Avg. Price: 208K<br>Sales Volume: 53
2008,AL7 2,218000,97,South East,AL7 2<br>Avg. Price: 218K<br>Sales Volume: 97
2008,AL7 3,202000,73,South East,AL7 3<br>Avg. Price: 202K<br>Sales Volume: 73
2008,AL7 4,216000,133,South East,AL7 4<br>Avg. Price: 216K<br>Sales Volume: 133
2008,AL8 6,281000,46,South East,AL8 6<br>Avg. Price: 281K<br>Sales Volume: 46
2008,AL8 7,360000,66,South East,AL8 7<br>Avg. Price: 360K<br>Sales Volume: 66
2008,AL9 5,262000,32,South East,AL9 5<br>Avg. Price: 262K<br>Sales Volume: 32
