Year,Sector,Price,Volume,Region,text
1999,AL1 1,158000,240,South East,AL1 1<br>Avg. Price: 158K<br>Sales Volume: 240
1999,AL1 2,134000,123,South East,AL1 2<br>Avg. Price: 134K<br>Sales Volume: 123
1999,AL1 3,147000,166,South East,AL1 3<br>Avg. Price: 147K<br>Sales Volume: 166
1999,AL1 4,201000,250,South East,AL1 4<br>Avg. Price: 201K<br>Sales Volume: 250
1999,AL1 5,113000,290,South East,AL1 5<br>Avg. Price: 113K<br>Sales Volume: 290
1999,AL10 0,79000,175,South East,AL10 0<br>Avg. Price: 79K<br>Sales Volume: 175
1999,AL10 8,90000,186,South East,AL10 8<br>Avg. Price: 90K<br>Sales Volume: 186
1999,AL10 9,95000,153,South East,AL10 9<br>Avg. Price: 95K<br>Sales Volume: 153
1999,AL2 1,100000,253,South East,AL2 1<br>Avg. Price: 100K<br>Sales Volume: 253
1999,AL2 2,150000,144,South East,AL2 2<br>Avg. Price: 150K<br>Sales Volume: 144
1999,AL2 3,173000,178,South East,AL2 3<br>Avg. Price: 173K<br>Sales Volume: 178
1999,AL3 4,215000,155,South East,AL3 4<br>Avg. Price: 215K<br>Sales Volume: 155
1999,AL3 5,165000,239,South East,AL3 5<br>Avg. Price: 165K<br>Sales Volume: 239
1999,AL3 6,141000,77,South East,AL3 6<br>Avg. Price: 141K<br>Sales Volume: 77
1999,AL3 7,178000,154,South East,AL3 7<br>Avg. Price: 178K<br>Sales Volume: 154
1999,AL3 8,128000,124,South East,AL3 8<br>Avg. Price: 128K<br>Sales Volume: 124
1999,AL4 0,188000,411,South East,AL4 0<br>Avg. Price: 188K<br>Sales Volume: 411
1999,AL4 8,202000,122,South East,AL4 8<br>Avg. Price: 202K<br>Sales Volume: 122
1999,AL4 9,120000,307,South East,AL4 9<br>Avg. Price: 120K<br>Sales Volume: 307
1999,AL5 1,182000,148,South East,AL5 1<br>Avg. Price: 182K<br>Sales Volume: 148
1999,AL5 2,373000,87,South East,AL5 2<br>Avg. Price: 373K<br>Sales Volume: 87
1999,AL5 3,220000,135,South East,AL5 3<br>Avg. Price: 220K<br>Sales Volume: 135
1999,AL5 4,193000,173,South East,AL5 4<br>Avg. Price: 193K<br>Sales Volume: 173
1999,AL5 5,174000,192,South East,AL5 5<br>Avg. Price: 174K<br>Sales Volume: 192
1999,AL6 0,240000,147,South East,AL6 0<br>Avg. Price: 240K<br>Sales Volume: 147
1999,AL6 9,197000,107,South East,AL6 9<br>Avg. Price: 197K<br>Sales Volume: 107
1999,AL7 1,100000,100,South East,AL7 1<br>Avg. Price: 100K<br>Sales Volume: 100
1999,AL7 2,93000,236,South East,AL7 2<br>Avg. Price: 93K<br>Sales Volume: 236
1999,AL7 3,87000,165,South East,AL7 3<br>Avg. Price: 87K<br>Sales Volume: 165
1999,AL7 4,107000,119,South East,AL7 4<br>Avg. Price: 107K<br>Sales Volume: 119
1999,AL8 6,137000,115,South East,AL8 6<br>Avg. Price: 137K<br>Sales Volume: 115
1999,AL8 7,161000,150,South East,AL8 7<br>Avg. Price: 161K<br>Sales Volume: 150
1999,AL9 5,134000,58,South East,AL9 5<br>Avg. Price: 134K<br>Sales Volume: 58
1999,AL9 6,296000,23,South East,AL9 6<br>Avg. Price: 296K<br>Sales Volume: 23
1999,AL9 7,175000,136,South East,AL9 7<br>Avg. Price: 175K<br>Sales Volume: 136
1999,B1 1,83000,6,Midlands,B1 1<br>Avg. Price: 83K<br>Sales Volume: 6
1999,B1 2,82000,26,Midlands,B1 2<br>Avg. Price: 82K<br>Sales Volume: 26
1999,B1 3,47000,16,Midlands,B1 3<br>Avg. Price: 47K<br>Sales Volume: 16
1999,B10 0,35000,93,Midlands,B10 0<br>Avg. Price: 35K<br>Sales Volume: 93
1999,B10 9,42000,177,Midlands,B10 9<br>Avg. Price: 42K<br>Sales Volume: 177
1999,B11 1,38000,85,Midlands,B11 1<br>Avg. Price: 38K<br>Sales Volume: 85
1999,B11 2,36000,56,Midlands,B11 2<br>Avg. Price: 36K<br>Sales Volume: 56
1999,B11 3,40000,270,Midlands,B11 3<br>Avg. Price: 40K<br>Sales Volume: 270
1999,B11 4,52000,153,Midlands,B11 4<br>Avg. Price: 52K<br>Sales Volume: 153
1999,B12 0,111000,5,Midlands,B12 0<br>Avg. Price: 111K<br>Sales Volume: 5
1999,B12 8,38000,84,Midlands,B12 8<br>Avg. Price: 38K<br>Sales Volume: 84
1999,B12 9,48000,65,Midlands,B12 9<br>Avg. Price: 48K<br>Sales Volume: 65
1999,B13 0,69000,167,Midlands,B13 0<br>Avg. Price: 69K<br>Sales Volume: 167
1999,B13 8,120000,186,Midlands,B13 8<br>Avg. Price: 120K<br>Sales Volume: 186
1999,B13 9,73000,347,Midlands,B13 9<br>Avg. Price: 73K<br>Sales Volume: 347
