Sector,Percentage Change,Region
AL1 1,15,South East
AL1 2,13,South East
AL1 3,23,South East
AL1 4,26,South East
AL1 5,27,South East
AL10 0,15,South East
AL10 8,19,South East
AL10 9,21,South East
AL2 1,30,South East
AL2 2,13,South East
AL2 3,19,South East
AL3 4,13,South East
AL3 5,32,South East
AL3 6,34,South East
AL3 7,28,South East
AL3 8,32,South East
AL4 0,16,South East
AL4 8,7,South East
AL4 9,28,South East
AL5 1,19,South East
AL5 2,7,South East
AL5 3,21,South East
AL5 4,15,South East
AL5 5,15,South East
AL6 0,25,South East
AL6 9,19,South East
AL7 1,7,South East
AL7 2,20,South East
AL7 3,11,South East
AL7 4,19,South East
AL8 6,34,South East
AL8 7,17,South East
AL9 5,14,South East
AL9 6,158,South East
AL9 7,34,South East
B1 1,122,Midlands
B1 2,76,Midlands
B1 3,115,Midlands
B10 0,14,Midlands
B10 9,10,Midlands
B11 1,0,Midlands
B11 2,14,Midlands
B11 3,12,Midlands
B11 4,17,Midlands
B12 0,-46,Midlands
B12 8,16,Midlands
B12 9,10,Midlands
B13 0,12,Midlands
B13 8,38,Midlands
B13 9,16,Midlands
B14 4,9,Midlands
B14 5,19,Midlands
B14 6,19,Midlands
B14 7,17,Midlands
B15 1,-1,Midlands
B15 2,46,Midlands
B15 3,16,Midlands
B16 0,3,Midlands
B16 8,6,Midlands
B16 9,12,Midlands
B17 0,4,Midlands
B17 8,24,Midlands
B17 9,24,Midlands
B18 4,4,Midlands
B18 5,7,Midlands
B18 6,72,Midlands
B18 7,17,Midlands
B19 1,0,Midlands
B19 2,-7,Midlands
B19 3,15,Midlands
B2 5,4,Midlands
B20 1,-1,Midlands
B20 2,3,Midlands
B20 3,12,Midlands
B21 0,-7,Midlands
B21 8,-5,Midlands
B21 9,8,Midlands
B23 5,13,Midlands
B23 6,4,Midlands
B23 7,11,Midlands
B24 0,12,Midlands
B24 8,3,Midlands
B24 9,11,Midlands
B25 8,15,Midlands
B26 1,1,Midlands
B26 2,14,Midlands
B26 3,15,Midlands
B27 6,11,Midlands
B27 7,11,Midlands
B28 0,15,Midlands
B28 8,8,Midlands
B28 9,14,Midlands
B29 4,7,Midlands
B29 5,15,Midlands
B29 6,5,Midlands
B29 7,11,Midlands
B3 1,15,Midlands
B30 1,32,Midlands
B30 2,23,Midlands
B30 3,4,Midlands
B31 1,9,Midlands
B31 2,11,Midlands
B31 3,2,Midlands
B31 4,8,Midlands
B31 5,16,Midlands
B32 1,16,Midlands
B32 2,7,Midlands
B32 3,12,Midlands
B32 4,2,Midlands
B33 0,11,Midlands
B33 8,12,Midlands
B33 9,5,Midlands
B34 6,7,Midlands
B34 7,11,Midlands
B35 6,9,Midlands
B35 7,-12,Midlands
B36 0,9,Midlands
B36 8,10,Midlands
B36 9,5,Midlands
B37 5,0,Midlands
B37 6,16,Midlands
B37 7,53,Midlands
B38 0,-2,Midlands
B38 8,12,Midlands
B38 9,19,Midlands
B4 6,-3,Midlands
B42 1,-9,Midlands
B42 2,12,Midlands
B43 5,14,Midlands
B43 6,9,Midlands
B43 7,11,Midlands
B44 0,13,Midlands
B44 8,6,Midlands
B44 9,2,Midlands
B45 0,3,Midlands
B45 8,8,Midlands
B45 9,9,Midlands
B46 1,16,Midlands
B46 2,62,Midlands
B46 3,13,Midlands
B47 5,3,Midlands
B47 6,-12,Midlands
B48 7,31,Midlands
B49 5,14,Midlands
B49 6,2,Midlands
B5 4,-3,Midlands
B5 7,2,Midlands
B50 4,7,Midlands
B6 4,0,Midlands
B6 5,-12,Midlands
B6 6,6,Midlands
B6 7,10,Midlands
B60 1,-13,Midlands
B60 2,43,Midlands
B60 3,-5,Midlands
B60 4,-22,Midlands
B61 0,25,Midlands
B61 7,30,Midlands
B61 8,8,Midlands
B61 9,4,Midlands
B62 0,17,Midlands
B62 8,24,Midlands
B62 9,13,Midlands
B63 1,0,Midlands
B63 2,2,Midlands
B63 3,10,Midlands
B63 4,13,Midlands
B64 5,14,Midlands
B64 6,12,Midlands
B64 7,14,Midlands
B65 0,6,Midlands
B65 8,4,Midlands
B65 9,12,Midlands
B66 1,100,Midlands
B66 2,0,Midlands
B66 3,-29,Midlands
B66 4,28,Midlands
B67 5,14,Midlands
B67 6,13,Midlands
B67 7,12,Midlands
B68 0,12,Midlands
B68 8,4,Midlands
B68 9,9,Midlands
B69 1,6,Midlands
B69 2,15,Midlands
B69 3,8,Midlands
B69 4,13,Midlands
B7 4,-40,Midlands
B7 5,35,Midlands
B70 0,-7,Midlands
B70 6,6,Midlands
B70 7,112,Midlands
B70 8,-5,Midlands
B70 9,22,Midlands
B71 1,45,Midlands
B71 2,11,Midlands
B71 3,-13,Midlands
B71 4,21,Midlands
B72 1,11,Midlands
B73 5,19,Midlands
B73 6,17,Midlands
B74 2,21,Midlands
B74 3,26,Midlands
B74 4,25,Midlands
B75 5,19,Midlands
B75 6,11,Midlands
B75 7,11,Midlands
B76 0,-13,Midlands
B76 1,16,Midlands
B76 2,11,Midlands
B76 9,24,Midlands
B77 1,19,Midlands
B77 2,8,Midlands
B77 3,7,Midlands
B77 4,9,Midlands
B77 5,-10,Midlands
B78 1,5,Midlands
B78 2,3,Midlands
B78 3,12,Midlands
B79 0,21,Midlands
B79 7,6,Midlands
B79 8,5,Midlands
B79 9,16,Midlands
B8 1,6,Midlands
B8 2,9,Midlands
B8 3,9,Midlands
B80 7,9,Midlands
B9 4,-12,Midlands
B9 5,2,Midlands
B90 1,13,Midlands
B90 2,13,Midlands
B90 3,13,Midlands
B90 4,14,Midlands
B91 1,22,Midlands
B91 2,26,Midlands
B91 3,17,Midlands
B92 0,27,Midlands
B92 7,12,Midlands
B92 8,13,Midlands
B92 9,16,Midlands
B93 0,24,Midlands
B93 8,6,Midlands
B93 9,26,Midlands
B94 5,11,Midlands
B94 6,17,Midlands
B95 5,12,Midlands
B95 6,-9,Midlands
B96 6,28,Midlands
B97 4,-5,Midlands
B97 5,11,Midlands
B97 6,11,Midlands
B98 0,8,Midlands
B98 7,7,Midlands
B98 8,19,Midlands
B98 9,26,Midlands
BA1 1,35,South West
BA1 2,42,South West
BA1 3,28,South West
BA1 4,35,South West
BA1 5,49,South West
BA1 6,27,South West
BA1 7,48,South West
BA1 8,82,South West
BA1 9,175,South West
BA10 0,-2,South West
BA11 1,23,South West
BA11 2,26,South West
BA11 3,37,South West
BA11 4,14,South West
BA11 5,11,South West
BA11 6,29,South West
BA12 0,1,South West
BA12 6,30,South West
BA12 7,27,South West
BA12 8,10,South West
BA12 9,29,South West
BA13 2,0,South West
BA13 3,14,South West
BA13 4,22,South West
BA14 0,4,South West
BA14 6,12,South West
BA14 7,20,South West
BA14 8,18,South West
BA14 9,29,South West
BA15 1,12,South West
BA15 2,25,South West
BA16 0,13,South West
BA16 9,-5,South West
BA2 0,51,South West
BA2 1,23,South West
BA2 2,10,South West
BA2 3,21,South West
BA2 4,25,South West
BA2 5,27,South West
BA2 6,71,South West
BA2 7,50,South West
BA2 8,15,South West
BA2 9,7,South West
BA20 1,-3,South West
BA20 2,21,South West
BA21 3,24,South West
BA21 4,25,South West
BA21 5,17,South West
BA22 7,28,South West
BA22 8,21,South West
BA22 9,-6,South West
BA3 2,9,South West
BA3 3,15,South West
BA3 4,35,South West
BA3 5,17,South West
BA4 4,16,South West
BA4 5,15,South West
BA4 6,1,South West
BA5 1,23,South West
BA5 2,32,South West
BA5 3,16,South West
BA6 8,27,South West
BA6 9,12,South West
BA7 7,29,South West
BA8 0,-1,South West
BA9 8,-14,South West
BA9 9,22,South West
BB1 1,48,North England
BB1 2,39,North England
BB1 3,-22,North England
BB1 4,-2,North England
BB1 5,0,North England
BB1 6,-21,North England
BB1 7,-17,North England
BB1 8,2,North England
BB1 9,20,North England
BB10 1,0,North England
BB10 2,0,North England
BB10 3,2,North England
BB10 4,10,North England
BB11 1,190,North England
BB11 2,-2,North England
BB11 3,-18,North England
BB11 4,-21,North England
BB11 5,10,North England
BB12 0,10,North England
BB12 6,16,North England
BB12 7,-2,North England
BB12 8,2,North England
BB12 9,15,North England
BB18 5,4,North England
BB18 6,0,North England
BB2 1,17,North England
BB2 2,-14,North England
BB2 3,3,North England
BB2 4,15,North England
BB2 5,7,North England
BB2 6,11,North England
BB2 7,14,North England
BB3 0,8,North England
BB3 1,3,North England
BB3 2,0,North England
BB3 3,7,North England
BB4 4,6,North England
BB4 5,19,North England
BB4 6,-12,North England
BB4 7,24,North England
BB4 8,10,North England
BB4 9,-7,North England
BB5 0,-6,North England
BB5 1,0,North England
BB5 2,-2,North England
BB5 3,2,North England
BB5 4,-2,North England
BB5 5,6,North England
BB5 6,-11,North England
BB6 7,22,North England
BB6 8,7,North England
BB7 1,-3,North England
BB7 2,-9,North England
BB7 3,12,North England
BB7 4,25,North England
BB7 9,-5,North England
BB8 0,0,North England
BB8 7,0,North England
BB8 8,2,North England
BB8 9,9,North England
BB9 0,5,North England
BB9 5,26,North England
BB9 6,5,North England
BB9 7,-5,North England
BB9 8,-8,North England
BB9 9,0,North England
BD1 2,-50,North England
BD1 3,-29,North England
BD1 4,-19,North England
BD10 0,9,North England
BD10 8,22,North England
BD10 9,-13,North England
BD11 1,6,North England
BD11 2,14,North England
BD12 0,-2,North England
BD12 7,-7,North England
BD12 8,19,North England
BD12 9,15,North England
BD13 1,-4,North England
BD13 2,21,North England
BD13 3,7,North England
BD13 4,2,North England
BD13 5,-8,North England
BD14 6,3,North England
BD15 0,1,North England
BD15 7,2,North England
BD15 8,4,North England
BD15 9,19,North England
BD16 1,4,North England
BD16 2,11,North England
BD16 3,19,North England
BD16 4,3,North England
BD17 5,3,North England
BD17 6,18,North England
BD17 7,17,North England
BD18 1,7,North England
BD18 2,-12,North England
BD18 3,5,North England
BD18 4,15,North England
BD19 3,8,North England
BD19 4,16,North England
BD19 5,2,North England
BD19 6,5,North England
BD2 1,13,North England
BD2 2,0,North England
BD2 3,2,North England
BD2 4,11,North England
BD20 0,5,North England
BD20 5,27,North England
BD20 6,21,North England
BD20 7,19,North England
BD20 8,-1,North England
BD20 9,-4,North England
BD21 1,3,North England
BD21 2,9,North England
BD21 3,-14,North England
BD21 4,2,North England
BD21 5,33,North England
BD22 0,-1,North England
BD22 6,-4,North England
BD22 7,9,North England
BD22 8,25,North England
BD22 9,6,North England
BD23 1,11,North England
BD23 2,15,North England
BD23 3,38,North England
BD23 4,3,North England
BD23 5,5,North England
BD23 6,11,North England
BD24 0,28,North England
BD24 9,23,North England
BD3 0,11,North England
BD3 7,-6,North England
BD3 8,4,North England
BD3 9,-8,North England
BD4 0,29,North England
BD4 6,2,North England
BD4 7,14,North England
BD4 8,-52,North England
BD4 9,7,North England
BD5 0,-7,North England
BD5 7,-20,North England
BD5 8,5,North England
BD5 9,14,North England
BD6 1,7,North England
BD6 2,2,North England
BD6 3,4,North England
BD7 1,0,North England
BD7 2,-6,North England
BD7 3,-3,North England
BD7 4,4,North England
BD8 0,12,North England
BD8 7,5,North England
BD8 8,34,North England
BD8 9,7,North England
BD9 4,4,North England
BD9 5,19,North England
BD9 6,-12,North England
BH1 1,57,South West
BH1 2,48,South West
BH1 3,36,South West
BH1 4,20,South West
BH10 4,16,South West
BH10 5,33,South West
BH10 6,19,South West
BH10 7,12,South West
BH11 8,17,South West
BH11 9,9,South West
BH12 1,35,South West
BH12 2,17,South West
BH12 3,23,South West
BH12 4,14,South West
BH12 5,12,South West
BH13 6,11,South West
BH13 7,28,South West
BH14 0,19,South West
BH14 8,48,South West
BH14 9,18,South West
BH15 1,18,South West
BH15 2,21,South West
BH15 3,20,South West
BH15 4,12,South West
BH16 5,29,South West
BH16 6,25,South West
BH17 7,18,South West
BH17 8,20,South West
BH17 9,24,South West
BH18 8,21,South West
BH18 9,21,South West
BH19 1,26,South West
BH19 2,27,South West
BH19 3,52,South West
BH2 5,1,South West
BH2 6,28,South West
BH20 4,17,South West
BH20 5,5,South West
BH20 6,14,South West
BH20 7,19,South West
BH21 1,17,South West
BH21 2,18,South West
BH21 3,12,South West
BH21 4,13,South West
BH21 5,38,South West
BH21 6,31,South West
BH21 7,21,South West
BH21 8,37,South West
BH22 0,21,South West
BH22 8,14,South West
BH22 9,26,South West
BH23 1,11,South West
BH23 2,16,South West
BH23 3,23,South West
BH23 4,20,South West
BH23 5,21,South West
BH23 6,12,South West
BH23 7,23,South West
BH23 8,36,South West
BH24 1,14,South West
BH24 2,16,South West
BH24 3,6,South West
BH24 4,30,South West
BH25 5,18,South West
BH25 6,15,South West
BH25 7,20,South West
BH3 7,52,South West
